manufacturer,model,engine_size,fuel_type,year_of_manufacture,mileage,price,car_age,damages
Toyota,RAV4,1.8,Hybrid,2005,50746,17457.20000000000000,19,SCRATCH
Toyota,RAV4,2.0,Petrol,2011,78488,19071.25000000000000,13,SCRATCH
Ford,Focus,1.8,Diesel,1995,186156,2179.80000000000000000,29,DENT
VW,Passat,1.4,Diesel,2011,49683,16443.9000000000000,13,DENT
Ford,Mondeo,1.8,Diesel,1988,93629,2835.00000000000000000,36,DENT
Ford,Focus,1.8,Petrol,1993,138516,2703.60000000000000000,31,DENT
BMW,M5,5.0,Petrol,2014,32517,76189.5000000000000,10,DENT
Ford,Mondeo,1.4,Diesel,2003,117808,5681.70000000000000000,21,DENT
Ford,Mondeo,2.0,Diesel,2001,159782,4248.90000000000000000,23,DENT
Porsche,Cayenne,2.6,Petrol,2006,41199,24313.5000000000000,18,DENT
Toyota,Yaris,1.0,Hybrid,1998,99273,3639.60000000000000000,26,DENT
VW,Polo,1.2,Petrol,2004,129374,3691.700000000000000000,20,SCRATCH
BMW,X3,2.0,Diesel,2009,74606,17090.50000000000000,15,SCRATCH
Ford,Focus,1.4,Petrol,1996,141265,3006.750000000000000000,28,SCRATCH
Ford,Mondeo,1.4,Diesel,2012,68468,15561.95000000000000,12,SCRATCH
Ford,Fiesta,1.2,Petrol,1989,163299,1004.150000000000000000,35,SCRATCH
VW,Polo,1.6,Petrol,2018,35087,20810.70000000000000,6,SCRATCH
VW,Passat,1.4,Diesel,1988,169852,1531.400000000000000000,36,SCRATCH
Ford,Fiesta,1.0,Petrol,2005,108450,4120.150000000000000000,19,SCRATCH
VW,Passat,2.0,Diesel,2012,78692,18338.80000000000000,12,SCRATCH
Ford,Mondeo,1.8,Diesel,2010,64195,15884.95000000000000,14,SCRATCH
Toyota,Prius,1.0,Hybrid,1997,184424,2359.800000000000000000,27,SCRATCH
Toyota,RAV4,2.2,Hybrid,2009,66267,22807.60000000000000,15,SCRATCH
Toyota,Prius,1.4,Hybrid,1999,108637,5894.750000000000000000,25,SCRATCH
BMW,M5,5.0,Petrol,2004,108523,24858.65000000000000,20,SCRATCH
VW,Passat,1.6,Diesel,2013,64612,19272.65000000000000,11,SCRATCH
VW,Passat,1.8,Diesel,2004,79145,9639.0000000000000,20,DENT
Ford,Mondeo,2.0,Diesel,1992,332073,482.40000000000000000,32,DENT
Toyota,Prius,1.0,Hybrid,2013,68096,15986.7000000000000,11,DENT
Toyota,Yaris,1.0,Petrol,2003,99734,4218.30000000000000000,21,DENT
Porsche,911,2.6,Petrol,2000,146281,11458.8000000000000,24,DENT
Toyota,Prius,1.4,Hybrid,2002,140413,5330.70000000000000000,22,DENT
Ford,Fiesta,1.0,Petrol,2012,73270,7997.40000000000000000,12,DENT
Toyota,Yaris,1.2,Petrol,2000,157676,2404.80000000000000000,24,DENT
VW,Passat,1.4,Diesel,2010,42634,16063.2000000000000,14,DENT
Toyota,Yaris,1.4,Petrol,2005,70436,6224.80000000000000000,19,CRASH
Ford,Fiesta,1.0,Petrol,2005,26157,7093.650000000000000000,19,SCRATCH
Toyota,Yaris,1.0,Petrol,2017,25905,18307.45000000000000,7,SCRATCH
Ford,Mondeo,1.8,Diesel,2011,58837,17580.70000000000000,13,SCRATCH
Toyota,Prius,1.8,Hybrid,2002,44162,12664.45000000000000,22,SCRATCH
Toyota,RAV4,2.0,Petrol,1996,244528,1786.000000000000000000,28,SCRATCH
Ford,Fiesta,1.0,Petrol,2005,184794,2219.200000000000000000,19,SCRATCH
VW,Polo,1.2,Diesel,2018,25239,20026.00000000000000,6,SCRATCH
Toyota,RAV4,1.8,Hybrid,1993,267705,1342.350000000000000000,31,SCRATCH
VW,Polo,1.0,Petrol,2008,102538,5396.950000000000000000,16,SCRATCH
Toyota,RAV4,2.2,Hybrid,2018,16076,56191.55000000000000,6,SCRATCH
Ford,Fiesta,1.4,Petrol,1999,150950,2340.800000000000000000,25,SCRATCH
Toyota,RAV4,2.0,Hybrid,2004,132592,9612.10000000000000,20,SCRATCH
VW,Golf,1.8,Petrol,2016,3500,27258.35000000000000,8,SCRATCH
VW,Passat,2.0,Petrol,1998,145447,4156.250000000000000000,26,SCRATCH
Toyota,Prius,1.4,Hybrid,2003,80465,9426.850000000000000000,21,SCRATCH
VW,Passat,1.6,Petrol,2009,86811,12086.85000000000000,15,SCRATCH
VW,Passat,1.6,Diesel,1996,193751,2271.450000000000000000,28,SCRATCH
VW,Passat,1.6,Diesel,2008,157437,6891.300000000000000000,16,SCRATCH
Ford,Focus,2.0,Diesel,2015,52816,25371.65000000000000,9,SCRATCH
VW,Passat,1.6,Diesel,2002,102312,7118.350000000000000000,22,SCRATCH
Toyota,Prius,1.0,Hybrid,1998,132732,3872.200000000000000000,26,SCRATCH
Porsche,Cayenne,2.6,Diesel,2014,50293,41160.6000000000000,10,DENT
VW,Golf,1.8,Petrol,2003,118136,5187.60000000000000000,21,DENT
Ford,Mondeo,1.8,Diesel,2000,55122,8191.80000000000000000,24,DENT
VW,Golf,1.2,Diesel,2012,64831,11852.1000000000000,12,DENT
Ford,Mondeo,1.8,Diesel,1989,144561,2052.00000000000000000,35,DENT
Toyota,Prius,1.8,Hybrid,1998,192794,2980.80000000000000000,26,DENT
BMW,Z4,2.0,Petrol,2010,75484,15605.1000000000000,14,DENT
Ford,Focus,1.0,Diesel,1994,91110,3420.000000000000000000,30,SCRATCH
BMW,Z4,2.0,Petrol,1999,153551,4383.300000000000000000,25,SCRATCH
Toyota,RAV4,1.8,Petrol,2014,62835,24539.45000000000000,10,SCRATCH
Toyota,Prius,1.0,Hybrid,1993,88081,3877.900000000000000000,31,SCRATCH
Toyota,Yaris,1.4,Hybrid,1996,223436,1423.100000000000000000,28,SCRATCH
Ford,Mondeo,1.6,Diesel,2007,91589,10163.10000000000000,17,SCRATCH
Ford,Focus,1.4,Diesel,2014,74085,17281.45000000000000,10,SCRATCH
BMW,M5,5.0,Petrol,1995,93025,15282.65000000000000,29,SCRATCH
VW,Golf,2.0,Petrol,1988,349153,266.950000000000000000,36,SCRATCH
Ford,Mondeo,1.4,Diesel,2000,119111,4861.150000000000000000,24,SCRATCH
BMW,X3,3.0,Diesel,2013,54602,31160.95000000000000,11,SCRATCH
Toyota,Yaris,1.4,Hybrid,1994,190910,1574.10000000000000000,30,DENT
Toyota,Prius,1.0,Hybrid,1994,130034,2870.10000000000000000,30,DENT
Ford,Fiesta,1.0,Petrol,2018,38592,14875.2000000000000,6,DENT
VW,Passat,1.4,Diesel,1992,237502,1042.20000000000000000,32,DENT
Porsche,911,2.2,Petrol,2004,100154,19660.5000000000000,20,DENT
VW,Passat,1.8,Diesel,2016,58052,24682.5000000000000,8,DENT
Toyota,Yaris,1.0,Petrol,2010,58421,8937.90000000000000000,14,DENT
VW,Golf,1.2,Petrol,2004,95124,5373.00000000000000000,20,DENT
VW,Polo,2.0,Petrol,2006,123345,5407.20000000000000000,18,DENT
Porsche,911,3.0,Petrol,2020,13932,128366.000000000000,4,PERFECT
Ford,Fiesta,1.4,Petrol,1989,168391,875.20000000000000000,35,CRASH
VW,Passat,2.0,Diesel,2017,51921,25700.8000000000000,7,CRASH
BMW,M5,4.4,Petrol,2008,90342,29277.6000000000000,16,CRASH
Ford,Focus,1.6,Petrol,2015,46483,18930.4000000000000,9,CRASH
BMW,Z4,2.2,Petrol,1994,208004,1738.40000000000000000,30,CRASH
VW,Passat,1.6,Diesel,1992,226897,1090.40000000000000000,32,CRASH
Toyota,Prius,1.0,Hybrid,1996,69871,4521.60000000000000000,28,CRASH
BMW,X3,2.4,Petrol,2002,82553,8915.2000000000000,22,CRASH
VW,Polo,1.0,Diesel,2005,88117,4335.20000000000000000,19,CRASH
Toyota,Prius,1.4,Hybrid,1997,172543,2603.20000000000000000,27,CRASH
Toyota,Yaris,1.4,Hybrid,1993,109055,2551.20000000000000000,31,CRASH
Ford,Focus,2.0,Petrol,1986,168825,1237.60000000000000000,38,CRASH
VW,Passat,1.8,Diesel,2009,87389,11289.6000000000000,15,CRASH
Toyota,Yaris,1.4,Petrol,2010,85417,7840.00000000000000000,14,CRASH
Toyota,Prius,1.4,Hybrid,2013,26998,21661.6000000000000,11,CRASH
Ford,Mondeo,1.4,Diesel,2018,52583,21665.6000000000000,6,CRASH
Toyota,Prius,1.0,Hybrid,2003,121227,4978.40000000000000000,21,CRASH
BMW,Z4,2.2,Petrol,2007,69478,12403.2000000000000,17,CRASH
BMW,Z4,2.2,Petrol,1994,160846,2611.20000000000000000,30,CRASH
Toyota,RAV4,2.0,Hybrid,1990,212399,1620.00000000000000000,34,CRASH
VW,Golf,1.8,Diesel,2017,48223,20019.2000000000000,7,CRASH
Toyota,Yaris,1.4,Hybrid,1992,168056,1489.60000000000000000,32,CRASH
Ford,Fiesta,1.4,Petrol,2010,145745,4283.20000000000000000,14,CRASH
Ford,Mondeo,1.4,Diesel,1997,130124,3076.80000000000000000,27,CRASH
BMW,Z4,2.2,Petrol,2011,44567,18985.6000000000000,13,CRASH
Ford,Focus,1.0,Petrol,1992,130372,1787.20000000000000000,32,CRASH
VW,Golf,1.2,Hybrid,2013,57272,13516.8000000000000,11,CRASH
BMW,M5,5.0,Petrol,2011,92106,37643.2000000000000,13,CRASH
Toyota,RAV4,2.4,Petrol,2009,77119,15541.6,15,CRASH
Ford,Fiesta,1.2,Petrol,2003,57209,4749.60000000000000000,21,CRASH
Ford,Focus,1.4,Petrol,2006,131103,5347.20000000000000000,18,CRASH
VW,Polo,1.0,Petrol,1995,211128,781.60000000000000000,29,CRASH
VW,Golf,1.2,Petrol,2012,82916,8877.6000000000000,12,CRASH
VW,Passat,2.0,Petrol,1995,140104,2991.20000000000000000,29,CRASH
Ford,Mondeo,1.6,Hybrid,2008,149445,6704.00000000000000000,16,CRASH
Ford,Mondeo,1.6,Diesel,2006,162612,4604.00000000000000000,18,CRASH
BMW,Z4,2.4,Petrol,2014,33607,30704.95000000000000,10,SCRATCH
Toyota,Yaris,1.0,Hybrid,2011,86036,10049.10000000000000,13,SCRATCH
VW,Polo,1.2,Petrol,1996,150164,1832.550000000000000000,28,SCRATCH
VW,Passat,1.4,Diesel,2002,86709,7449.900000000000000000,22,SCRATCH
Ford,Mondeo,1.4,Diesel,2006,110730,7729.200000000000000000,18,SCRATCH
Toyota,Yaris,1.4,Hybrid,1996,203365,1702.400000000000000000,28,SCRATCH
Ford,Mondeo,1.8,Diesel,2000,104844,6137.950000000000000000,24,SCRATCH
Toyota,Yaris,1.0,Petrol,1994,231822,812.250000000000000000,30,SCRATCH
Toyota,Prius,1.8,Hybrid,2014,56069,26170.60000000000000,10,SCRATCH
BMW,Z4,2.4,Petrol,2009,82430,16093.00000000000000,15,SCRATCH
VW,Passat,1.8,Diesel,2018,34608,34375.75000000000000,6,SCRATCH
VW,Golf,1.8,Hybrid,2017,17100,32551.75000000000000,7,SCRATCH
Ford,Fiesta,1.4,Petrol,1991,122748,1719.500000000000000000,33,SCRATCH
Toyota,Yaris,1.2,Petrol,2008,109528,6331.750000000000000000,16,SCRATCH
Ford,Mondeo,2.0,Diesel,2016,33335,30240.40000000000000,8,SCRATCH
VW,Passat,1.6,Diesel,1996,260428,1242.600000000000000000,28,SCRATCH
VW,Polo,2.0,Petrol,1994,179954,1613.100000000000000000,30,SCRATCH
VW,Passat,1.8,Diesel,1992,173964,2188.800000000000000000,32,SCRATCH
Toyota,Prius,1.0,Hybrid,1999,211045,2133.700000000000000000,25,SCRATCH
Toyota,Yaris,1.2,Hybrid,1998,122572,3532.100000000000000000,26,SCRATCH
Toyota,RAV4,2.0,Hybrid,2011,87938,21427.25000000000000,13,SCRATCH
VW,Golf,1.2,Petrol,1991,218686,863.550000000000000000,33,SCRATCH
BMW,Z4,2.4,Petrol,1999,112271,6653.800000000000000000,25,SCRATCH
Ford,Mondeo,2.0,Diesel,2000,149820,4554.300000000000000000,24,SCRATCH
Ford,Mondeo,1.6,Diesel,1998,156867,3363.950000000000000000,26,SCRATCH
VW,Passat,1.6,Diesel,2017,43150,28815.40000000000000,7,SCRATCH
VW,Polo,2.0,Petrol,1993,188748,1398.400000000000000000,31,SCRATCH
Toyota,Prius,1.8,Hybrid,2018,25276,41103.65000000000000,6,SCRATCH
Toyota,Prius,1.0,Hybrid,2004,116633,6545.500000000000000000,20,SCRATCH
Ford,Focus,2.0,Petrol,1988,184503,1468.700000000000000000,36,SCRATCH
Ford,Mondeo,1.6,Diesel,1989,218237,1084.900000000000000000,35,SCRATCH
VW,Polo,2.0,Petrol,2014,89819,12483.00000000000000,10,SCRATCH
Ford,Fiesta,1.4,Petrol,2018,26684,19909.15000000000000,6,SCRATCH
VW,Passat,1.8,Diesel,1987,296467,514.900000000000000000,37,SCRATCH
Toyota,Prius,1.8,Hybrid,2001,95146,8433.150000000000000000,23,SCRATCH
Toyota,Prius,1.8,Hybrid,1994,256210,1359.450000000000000000,30,SCRATCH
BMW,X3,3.0,Diesel,1990,246733,1432.600000000000000000,34,SCRATCH
Ford,Fiesta,1.0,Petrol,1999,109002,2750.250000000000000000,25,SCRATCH
Toyota,Yaris,1.2,Petrol,1995,152678,1895.250000000000000000,29,SCRATCH
Ford,Mondeo,2.0,Diesel,1993,308725,682.100000000000000000,31,SCRATCH
Ford,Mondeo,2.0,Hybrid,1991,208784,1724.250000000000000000,33,SCRATCH
VW,Golf,1.4,Petrol,2000,179066,2407.300000000000000000,24,SCRATCH
VW,Passat,1.6,Diesel,1995,161483,2800.600000000000000000,29,SCRATCH
VW,Polo,1.2,Petrol,2013,79242,9740.35000000000000,11,SCRATCH
Ford,Fiesta,1.2,Petrol,2003,198059,1895.250000000000000000,21,SCRATCH
Porsche,Cayenne,4.0,Petrol,1998,103394,12294.90000000000000,26,SCRATCH
Ford,Mondeo,1.8,Diesel,1994,101928,4203.750000000000000000,30,SCRATCH
Ford,Fiesta,1.0,Petrol,1991,205623,726.750000000000000000,33,SCRATCH
VW,Passat,1.8,Diesel,2010,105618,12559.00000000000000,14,SCRATCH
BMW,X3,3.0,Diesel,1999,227587,3111.250000000000000000,25,SCRATCH
VW,Passat,1.8,Petrol,2015,63639,22387.70000000000000,9,SCRATCH
Ford,Focus,1.6,Petrol,2016,45738,24140.45000000000000,8,SCRATCH
Toyota,RAV4,2.0,Hybrid,2003,88045,12559.95000000000000,21,SCRATCH
Toyota,Prius,1.8,Hybrid,2016,57280,29673.25000000000000,8,SCRATCH
Toyota,RAV4,2.4,Hybrid,1995,191373,3540.650000000000000000,29,SCRATCH
Toyota,Yaris,1.4,Petrol,2005,111198,5529.950000000000000000,19,SCRATCH
BMW,X3,3.0,Petrol,1997,182568,3863.650000000000000000,27,SCRATCH
Ford,Fiesta,1.4,Petrol,2004,115671,4318.700000000000000000,20,SCRATCH
Toyota,Yaris,1.4,Petrol,1992,281087,532.000000000000000000,32,SCRATCH
Ford,Mondeo,1.4,Diesel,2016,45496,23528.65000000000000,8,SCRATCH
Porsche,911,2.6,Petrol,2014,75584,52269.95,10,SCRATCH
VW,Passat,1.4,Diesel,1984,384081,158.650000000000000000,40,SCRATCH
Porsche,Cayenne,4.0,Petrol,2001,106471,14678.45000000000000,23,SCRATCH
VW,Passat,1.6,Diesel,1997,185037,2620.100000000000000000,27,SCRATCH
VW,Passat,1.4,Diesel,2007,108456,8878.700000000000000000,17,SCRATCH
Toyota,Prius,1.8,Hybrid,1990,298032,702.050000000000000000,34,SCRATCH
Ford,Mondeo,1.8,Diesel,1991,148017,2406.350000000000000000,33,SCRATCH
VW,Passat,1.8,Petrol,2015,30697,27420.80000000000000,9,SCRATCH
BMW,Z4,2.2,Petrol,1995,267466,1281.550000000000000000,29,SCRATCH
Ford,Mondeo,1.6,Diesel,2010,70892,14326.00000000000000,14,SCRATCH
Toyota,Yaris,1.2,Hybrid,2008,87188,8940.450000000000000000,16,SCRATCH
BMW,X3,2.0,Diesel,1984,183484,1381.300000000000000000,40,SCRATCH
VW,Passat,1.8,Diesel,2015,14277,31543.80000000000000,9,SCRATCH
Ford,Focus,1.6,Petrol,2011,52156,16622.15000000000000,13,SCRATCH
Porsche,718 Cayman,2.0,Petrol,2009,109678,14589.15000000000000,15,SCRATCH
Ford,Fiesta,1.4,Petrol,1993,232070,775.200000000000000000,31,SCRATCH
Porsche,Cayenne,2.6,Petrol,1991,133427,4939.050000000000000000,33,SCRATCH
Toyota,RAV4,2.4,Hybrid,1996,126664,6471.400000000000000000,28,SCRATCH
Toyota,Prius,1.8,Hybrid,1991,227750,1444.950000000000000000,33,SCRATCH
BMW,Z4,2.4,Petrol,2021,15993,56902.000000000000,3,PERFECT
Toyota,Yaris,1.4,Petrol,1992,199140,1127.650000000000000000,32,SCRATCH
VW,Polo,1.6,Petrol,2000,91998,4322.500000000000000000,24,SCRATCH
Toyota,Prius,1.8,Hybrid,1995,239346,1697.650000000000000000,29,SCRATCH
VW,Golf,2.0,Petrol,2004,99859,7074.650000000000000000,20,SCRATCH
VW,Polo,1.2,Petrol,1988,200002,703.000000000000000000,36,SCRATCH
VW,Passat,1.6,Diesel,1991,64553,4447.900000000000000000,33,SCRATCH
VW,Golf,1.4,Diesel,2018,38275,23805.10000000000000,6,SCRATCH
BMW,X3,2.4,Diesel,1992,197367,2285.700000000000000000,32,SCRATCH
Porsche,Cayenne,2.6,Petrol,2015,30150,49904.45000000000000,9,SCRATCH
BMW,M5,5.0,Petrol,1986,307293,1311.000000000000000000,38,SCRATCH
Ford,Fiesta,1.2,Petrol,2013,35870,12524.80000000000000,11,SCRATCH
Porsche,911,2.6,Petrol,1992,25456,16478.70000000000000,32,SCRATCH
VW,Passat,1.8,Diesel,1995,265689,1173.250000000000000000,29,SCRATCH
Toyota,Yaris,1.4,Petrol,2002,90031,5286.750000000000000000,22,SCRATCH
Ford,Focus,2.0,Petrol,2007,66184,13005.50000000000000,17,SCRATCH
Ford,Mondeo,1.6,Diesel,2009,95277,11308.80000000000000,15,SCRATCH
Toyota,Yaris,1.0,Hybrid,2015,64234,15215.20000000000000,9,SCRATCH
Toyota,Yaris,1.4,Hybrid,2011,147724,7433.750000000000000000,13,SCRATCH
Ford,Focus,1.0,Petrol,2004,11922,10402.50000000000000,20,SCRATCH
Ford,Mondeo,1.4,Diesel,2017,42686,25584.45000000000000,7,SCRATCH
Ford,Mondeo,1.6,Diesel,2016,52080,24147.10000000000000,8,SCRATCH
Toyota,RAV4,2.0,Hybrid,1996,51781,10033.90000000000000,28,SCRATCH
VW,Golf,2.0,Diesel,2015,34183,23863.05000000000000,9,SCRATCH
Toyota,Yaris,1.2,Petrol,1984,187854,675.450000000000000000,40,SCRATCH
BMW,Z4,2.4,Petrol,1994,177996,2802.500000000000000000,30,SCRATCH
Porsche,718 Cayman,2.0,Petrol,2003,142823,7553.450000000000000000,21,SCRATCH
Ford,Fiesta,1.0,Petrol,1989,252460,416.100000000000000000,35,SCRATCH
Ford,Focus,1.6,Petrol,2009,49818,14761.10000000000000,15,SCRATCH
BMW,Z4,3.0,Petrol,2015,43469,34604.70000000000000,9,SCRATCH
VW,Passat,1.8,Petrol,1987,298056,482.600000000000000000,37,SCRATCH
Ford,Focus,1.0,Petrol,2006,79413,7868.850000000000000000,18,SCRATCH
Toyota,Yaris,1.4,Petrol,1985,265756,385.700000000000000000,39,SCRATCH
BMW,X3,2.4,Petrol,2001,122312,7393.850000000000000000,23,SCRATCH
BMW,Z4,2.2,Petrol,2014,40717,28186.50000000000000,10,SCRATCH
Toyota,RAV4,2.2,Hybrid,2001,126676,8646.900000000000000000,23,SCRATCH
VW,Polo,2.0,Petrol,2002,58414,6937.850000000000000000,22,SCRATCH
VW,Golf,1.2,Petrol,1988,216277,722.000000000000000000,36,SCRATCH
Porsche,911,3.0,Petrol,1992,78285,12715.75000000000000,32,SCRATCH
BMW,X3,3.0,Petrol,2016,38143,40102.35000000000000,8,SCRATCH
Toyota,Prius,1.8,Hybrid,2001,33991,12588.45000000000000,23,SCRATCH
Toyota,Yaris,1.2,Hybrid,2010,136508,7047.100000000000000000,14,SCRATCH
Ford,Mondeo,1.8,Petrol,1994,96934,4152.450000000000000000,30,SCRATCH
BMW,M5,4.4,Petrol,2017,31900,92475.85000000000000,7,SCRATCH
VW,Golf,1.4,Diesel,2011,78194,11556.75000000000000,13,SCRATCH
VW,Polo,1.0,Petrol,2015,17861,14849.45000000000000,9,SCRATCH
Toyota,Prius,1.8,Hybrid,2000,128838,6120.850000000000000000,24,SCRATCH
BMW,M5,5.0,Petrol,2000,111575,18609.55000000000000,24,SCRATCH
Ford,Mondeo,1.4,Petrol,2018,18556,29928.80000000000000,6,SCRATCH
VW,Passat,1.4,Diesel,1993,126792,3034.300000000000000000,31,SCRATCH
BMW,M5,5.0,Petrol,1992,118737,10338.85000000000000,32,SCRATCH
Toyota,RAV4,2.0,Hybrid,2010,93287,19295.45000000000000,14,SCRATCH
VW,Passat,1.4,Diesel,2018,46200,28281.50000000000000,6,SCRATCH
Toyota,Prius,1.8,Hybrid,2014,60251,25478.05000000000000,10,SCRATCH
Ford,Fiesta,1.2,Petrol,2012,57595,10252.40000000000000,12,SCRATCH
VW,Passat,1.4,Diesel,2016,38257,25967.30000000000000,8,SCRATCH
Toyota,RAV4,2.2,Hybrid,1997,149982,5496.700000000000000000,27,SCRATCH
Ford,Fiesta,1.2,Petrol,2010,67906,8389.450000000000000000,14,SCRATCH
VW,Polo,1.6,Petrol,2007,83396,7325.450000000000000000,17,SCRATCH
Ford,Focus,1.8,Petrol,2008,61659,13585.00000000000000,16,SCRATCH
Toyota,RAV4,2.0,Petrol,1993,136601,3726.850000000000000000,31,SCRATCH
Ford,Mondeo,2.0,Diesel,2011,62377,18112.70000000000000,13,SCRATCH
BMW,X3,2.4,Diesel,1990,239769,1366.100000000000000000,34,SCRATCH
VW,Polo,1.0,Diesel,2008,125297,4769.000000000000000000,16,SCRATCH
Ford,Mondeo,1.6,Diesel,2015,72886,19727.70000000000000,9,SCRATCH
Toyota,Prius,1.8,Hybrid,1992,393951,316.350000000000000000,32,SCRATCH
BMW,X3,2.0,Diesel,2005,100621,10894.60000000000000,19,SCRATCH
Ford,Focus,1.0,Petrol,2011,77183,11151.10000000000000,13,SCRATCH
VW,Passat,2.0,Diesel,2007,108278,10625.75000000000000,17,SCRATCH
Porsche,Cayenne,3.0,Petrol,1997,183021,5247.80,27,SCRATCH
Toyota,Prius,1.4,Hybrid,2014,47930,24288.65000000000000,10,SCRATCH
BMW,Z4,3.0,Petrol,2001,106468,8877.750000000000000000,23,SCRATCH
Ford,Fiesta,1.4,Petrol,1994,184921,1259.700000000000000000,30,SCRATCH
BMW,X3,3.0,Petrol,2003,150918,7521.150000000000000000,21,SCRATCH
Ford,Focus,2.0,Diesel,2001,74411,8663.050000000000000000,23,SCRATCH
BMW,Z4,2.0,Petrol,1990,301244,635.550000000000000000,34,SCRATCH
VW,Passat,2.0,Diesel,2013,47129,24082.50000000000000,11,SCRATCH
VW,Polo,1.0,Petrol,1996,157847,1570.350000000000000000,28,SCRATCH
Ford,Mondeo,1.8,Petrol,2008,83463,11621.35000000000000,16,SCRATCH
VW,Passat,1.6,Diesel,2000,181963,3286.050000000000000000,24,SCRATCH
Toyota,Yaris,1.0,Hybrid,2012,71346,11882.60000000000000,12,SCRATCH
VW,Golf,1.6,Petrol,1995,189808,1680.550000000000000000,29,SCRATCH
Ford,Focus,2.0,Hybrid,1985,197011,1293.900000000000000000,39,SCRATCH
VW,Polo,1.2,Diesel,2012,64251,10582.05000000000000,12,SCRATCH
Toyota,RAV4,2.4,Hybrid,1990,247859,1526.650000000000000000,34,SCRATCH
Ford,Fiesta,1.2,Petrol,1997,144256,2002.600000000000000000,27,SCRATCH
Ford,Fiesta,1.2,Diesel,2010,91095,7508.800000000000000000,14,SCRATCH
Ford,Focus,2.0,Diesel,2001,11030,12707.20000000000000,23,SCRATCH
Ford,Mondeo,1.4,Diesel,2011,36582,17786.85000000000000,13,SCRATCH
Toyota,Prius,1.4,Hybrid,1991,230264,1245.450000000000000000,33,SCRATCH
BMW,M5,4.0,Petrol,1987,214739,2964.00,37,SCRATCH
Ford,Focus,1.8,Petrol,1992,240600,1102.950000000000000000,32,SCRATCH
Toyota,Prius,1.0,Hybrid,2014,49662,20309.10000000000000,10,SCRATCH
Toyota,RAV4,1.8,Hybrid,2010,101693,17221.60,14,SCRATCH
Ford,Mondeo,1.8,Diesel,2003,71305,9501.90000000000000,21,SCRATCH
Toyota,Prius,1.4,Hybrid,1998,278157,1274.900000000000000000,26,SCRATCH
Toyota,RAV4,1.8,Hybrid,1995,301122,1119.100000000000000000,29,SCRATCH
VW,Golf,1.4,Hybrid,1996,158323,2636.250000000000000000,28,SCRATCH
Ford,Focus,1.4,Petrol,1987,326998,307.800000000000000000,37,SCRATCH
BMW,Z4,2.4,Petrol,2004,102480,9989.25000000000000,20,SCRATCH
BMW,X3,2.0,Diesel,1989,237966,1186.550000000000000000,35,SCRATCH
Ford,Focus,1.6,Petrol,2011,96121,12344.30000000000000,13,SCRATCH
Ford,Mondeo,1.4,Diesel,2012,81050,14288.00000000000000,12,SCRATCH
VW,Passat,1.4,Petrol,2018,40233,27927.15000000000000,6,SCRATCH
VW,Golf,1.6,Petrol,2013,41328,17051.55000000000000,11,SCRATCH
Porsche,911,3.5,Petrol,2004,169089,15166.75000000000000,20,SCRATCH
Ford,Focus,1.6,Diesel,1998,154324,3467.500000000000000000,26,SCRATCH
Toyota,Yaris,1.4,Hybrid,1998,148898,3095.100000000000000000,26,SCRATCH
Toyota,Prius,1.4,Hybrid,1994,179114,2393.050000000000000000,30,SCRATCH
Ford,Mondeo,2.0,Diesel,2004,97935,8887.250000000000000000,20,SCRATCH
Toyota,RAV4,1.8,Hybrid,2002,125962,8406.550000000000000000,22,SCRATCH
Ford,Mondeo,1.8,Diesel,2018,23607,34652.20000000000000,6,SCRATCH
VW,Passat,1.4,Petrol,2019,8884,35591.75000000000000,5,SCRATCH
Toyota,Prius,1.8,Hybrid,2004,129540,7946.750000000000000000,20,SCRATCH
Porsche,Cayenne,2.6,Diesel,2016,26107,57317.30000000000000,8,SCRATCH
Ford,Focus,1.4,Diesel,2001,204528,2577.350000000000000000,23,SCRATCH
Ford,Mondeo,2.0,Diesel,1994,171141,2556.450000000000000000,30,SCRATCH
VW,Polo,1.4,Petrol,2013,43589,13258.20000000000000,11,SCRATCH
VW,Passat,2.0,Diesel,2002,136438,6125.600000000000000000,22,SCRATCH
Porsche,911,3.0,Petrol,1999,75376,20684.35000000000000,25,SCRATCH
Toyota,Yaris,1.2,Petrol,2001,192276,2020.650000000000000000,23,SCRATCH
VW,Passat,1.4,Diesel,2001,76126,7500.250000000000000000,23,SCRATCH
Ford,Focus,1.8,Diesel,2003,89259,8472.100000000000000000,21,SCRATCH
VW,Polo,1.2,Petrol,2014,35981,13731.30000000000000,10,SCRATCH
Toyota,Yaris,1.2,Petrol,2010,92254,8211.800000000000000000,14,SCRATCH
Porsche,911,3.5,Petrol,2018,24865,108568.85000000000000,6,SCRATCH
BMW,X3,2.4,Diesel,2006,111174,11795.20000000000000,18,SCRATCH
BMW,M5,4.4,Petrol,2012,63782,54426.45000000000000,12,SCRATCH
Ford,Fiesta,1.2,Petrol,1992,239616,626.050000000000000000,32,SCRATCH
Ford,Focus,1.4,Petrol,2011,75046,13387.40000000000000,13,SCRATCH
Ford,Mondeo,1.6,Diesel,1994,154958,2617.250000000000000000,30,SCRATCH
VW,Polo,1.4,Petrol,2016,54911,15094.55000000000000,8,SCRATCH
VW,Polo,2.0,Petrol,1997,122604,3150.200000000000000000,27,SCRATCH
VW,Golf,1.4,Petrol,2001,137119,3643.250000000000000000,23,SCRATCH
